"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-21","AK",289,,0,,1243,1243,34,0,,,,0,,,1561281,,4,55198,,0,0,,,,,66577,,,0,1629829,0,,,,,,0,1629829,0
"2021-02-21","AL",9592,7526,2,2066,44767,44767,867,0,2623,,1875829,3104,,,,1490,,486843,381846,857,0,,,,,,275245,,0,2257675,3784,,,114835,,2257675,3784,,0
"2021-02-21","AR",5357,4306,9,1051,14540,14540,577,14,,219,2352972,2021,,,2352972,1500,114,315514,249652,284,0,,,,77315,,304460,,0,2602624,2181,,,,427946,,0,2602624,2181
"2021-02-21","AS",0,,0,,,,,0,,,2140,0,,,,,,0,,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-02-21","AZ",15505,13694,25,1811,56946,56946,1598,74,,501,2940237,9077,,,,,286,807967,753580,1804,0,,,,,,114497,,0,7433448,37120,433811,,,,3693817,10706,7433448,37120
"2021-02-21","CA",49105,,280,,,,7313,0,,2073,,0,,,,,,3441946,3441946,6760,0,,,,,,,,0,47043348,229472,,,,,,0,47043348,229472
"2021-02-21","CO",5892,5164,5,728,23169,23169,440,13,,,2135251,4448,334394,,,,,420614,398020,802,0,54620,,,,,22316,6011339,24094,6011339,24094,391013,,,,2533271,5199,,0
"2021-02-21","CT",7523,6166,0,1357,12257,12257,535,0,,,6167204,0,,,,,,273101,256139,0,0,,18150,,,,9800,,0,6440305,0,,324744,,,,0,6423343,0
"2021-02-21","DC",995,,1,,,,196,0,,52,,0,,,,,28,39648,,95,0,,,,,,28365,1195253,4244,1195253,4244,,,,,429388,696,,0
"2021-02-21","DE",1367,1236,1,131,,,175,0,,24,531605,687,,,,,,84732,80291,201,0,,,,,88415,,1356971,8317,1356971,8317,,,,,616337,888,,0
"2021-02-21","FL",30434,,95,,78946,78946,4160,106,,,9012223,22676,831212,790547,16078849,,,1834708,1495704,4935,0,165482,,155757,,2400590,,21132651,72854,21132651,72854,997190,,946648,,10846931,27611,18567270,57184
