Alaska,153349,20962,84385,11535
Alabama,570355,11632,221785,4523
Arkansas,370403,12274,161470,5351
American Samoa,10978,19713,7818,14039
Arizona,1108935,15235,392139,5387
Bureau of Prisons,32591,0,19637,0
California,5503523,13929,2048326,5184
Colorado,831826,14445,392925,6823
Connecticut,595390,16700,277009,7770
District of Columbia,109636,15535,54187,7678
Dept of Defense,617656,0,237626,0
Delaware,134698,13833,48311,4961
Florida,2879026,13405,1482708,6903
Federated States of Micronesia,9715,9374,2425,2340
Georgia,1210708,11403,623795,5875
Guam,32386,19537,16865,10174
Hawaii,223785,15805,107267,7576
Iowa,454792,14415,150392,4767
Idaho,227171,12712,97370,5449
Indian Health Svc,314387,15094,121574,5837
Illinois,1750507,13814,566994,4474
Indiana,884201,13134,405490,6023
Kansas,359269,12332,151375,5196
Kentucky,573961,12847,262062,5866
Louisiana,594561,12790,306685,6597
Massachusetts,1080511,15677,384582,5580
Maryland,754894,12487,354904,5870
Maine,204495,15213,90423,6727
Marshall Islands,7175,12283,1695,2902
Michigan,1282233,12839,670899,6718
Minnesota,788885,13988,345351,6124
Missouri,745007,12139,348584,5680
Northern Mariana Islands,9575,16833,6506,11438
Mississippi,353710,11885,144566,4857
Montana,167797,15700,72256,6761
North Carolina,1385902,13214,716027,6827
North Dakota,128657,16883,65503,8595
Nebraska,258588,13368,119890,6198
New Hampshire,184739,13587,82957,6101
New Jersey,1183501,13324,521674,5873
New Mexico,399799,19067,198486,9466
Nevada,405633,13169,176341,5725
New York State,2408373,12380,1218748,6265
Ohio,1503346,12861,688163,5887
Oklahoma,594361,15021,289719,7322
Oregon,560544,13290,279756,6633
Pennsylvania,1699219,13273,651588,5090
Puerto Rico,320423,10033,154730,4845
Rhode Island,142522,13454,63410,5986
Republic of Palau,3649,20378,2665,14882
South Carolina,649402,12613,265062,5148
South Dakota,158510,17918,77240,8731
Tennessee,763973,11187,362284,5305
Texas,3278912,11308,1426511,4920
Utah,356543,11121,146408,4567
Virginia,1183068,13861,520814,6102
Veterans Health,1328177,0,627679,0
Virgin Islands,11247,10744,4940,4719
Vermont,94486,15142,46743,7491
Washington,1027798,13497,434996,5712
Wisconsin,867121,14893,371843,6386
West Virginia,291272,16253,174287,9725
Wyoming,91931,15884,43289,7480
